[13-Apr-2022 15:37:04 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 222
[13-Apr-2022 15:40:57 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\functions.php on line 193
[13-Apr-2022 15:43:33 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 203
[13-Apr-2022 15:43:46 UTC] PHP Parse error:  syntax error, unexpected '<' in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 203
[14-Apr-2022 21:53:25 UTC] PHP Parse error:  syntax error, unexpected end of file, expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\footer.php on line 91
[20-Apr-2022 15:11:19 UTC] PHP Parse error:  syntax error, unexpected '?>' in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 317
[20-Apr-2022 15:53:51 UTC] PHP Parse error:  syntax error, unexpected '<=' (T_IS_SMALLER_OR_EQUAL) in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 326
[21-Apr-2022 09:54:51 UTC] PHP Warning:  Use of undefined constant SECURE_AUTH_KEY - assumed 'SECURE_AUTH_KEY' (this will throw an Error in a future version of PHP) in C:\Users\marie\Documents\solution.wp\app\public\wp-content\plugins\wp-slick-slider-and-image-carousel\wpos-analytics\includes\wpos-anylc-function.php on line 67
[21-Apr-2022 09:54:51 UTC] PHP Stack trace:
[21-Apr-2022 09:54:51 UTC] PHP   1. {main}() C:\Users\marie\Documents\solution.wp\app\public\wp-admin\admin.php:0
[21-Apr-2022 09:54:51 UTC] PHP   2. do_action() C:\Users\marie\Documents\solution.wp\app\public\wp-admin\admin.php:259
[21-Apr-2022 09:54:51 UTC] PHP   3. WP_Hook->do_action() C:\Users\marie\Documents\solution.wp\app\public\wp-includes\plugin.php:474
